Era,Series Title,Parent Authority,Result,Authority ID,Resolved Authority ID,Publishing Era,Status
New 52,Before Watchmen: Comedian,Watchmen Universe,Added,SER-01430,SER-01430,The New 52,Assigned
New 52,Before Watchmen: Nite Owl,Watchmen Universe,Added,SER-01431,SER-01431,The New 52,Assigned
New 52,Before Watchmen: Ozymandias,Watchmen Universe,Added,SER-01432,SER-01432,The New 52,Assigned
New 52,Before Watchmen: Rorschach,Watchmen Universe,Added,SER-01433,SER-01433,The New 52,Assigned
New 52,Before Watchmen: Dr. Manhattan,Watchmen Universe,Added,SER-01434,SER-01434,The New 52,Assigned
New 52,Before Watchmen: Moloch,Watchmen Universe,Added,SER-01435,SER-01435,The New 52,Assigned
New 52,Before Watchmen: Dollar Bill,Watchmen Universe,Added,SER-01436,SER-01436,The New 52,Assigned
New 52,National Comics: Eternity,DC Universe,Added,SER-01437,SER-01437,The New 52,Assigned
New 52,National Comics: Looker,DC Universe,Added,SER-01438,SER-01438,The New 52,Assigned
New 52,National Comics: Madame X,DC Universe,Added,SER-01439,SER-01439,The New 52,Assigned
New 52,National Comics: Rose & Thorn,DC Universe,Added,SER-01440,SER-01440,The New 52,Assigned
New 52,The Ray,DC Universe,Already present,,SER-00836,The New 52,Assigned
New 52,Human Bomb,DC Universe,Added,SER-01441,SER-01441,The New 52,Assigned
New 52,Phantom Lady,DC Universe,Already present,,SER-00560,The New 52,Assigned
New 52,Joe Kubert Presents,DC Universe,Added,SER-01442,SER-01442,The New 52,Assigned
New 52,The Judas Coin,DC Universe,Added,SER-01443,SER-01443,The New 52,Assigned
New 52,Ame-Comi Girls,DC Universe,Added,SER-01444,SER-01444,The New 52,Assigned
New 52,Batman: Arkham Unhinged,Batman,Added,SER-01445,SER-01445,The New 52,Assigned
New 52,Batman '66,Batman,Added,SER-01446,SER-01446,The New 52,Assigned
New 52,Batman '66 Meets the Green Hornet,Batman,Added,SER-01447,SER-01447,The New 52,Assigned
New 52,Batman '66 Meets The Man from U.N.C.L.E.,Batman,Added,SER-01448,SER-01448,The New 52,Assigned
New 52,Batman '66 Meets Wonder Woman '77,Batman,Added,SER-01449,SER-01449,The New 52,Assigned
New 52,Batman '66 Meets the Legion of Super-Heroes,Batman,Added,SER-01450,SER-01450,The New 52,Assigned
New 52,Adventures of Superman,Superman,Already present,,SER-00757,The New 52,Assigned
New 52,Sensation Comics Featuring Wonder Woman,Wonder Woman,Already present,,SER-00977,The New 52,Assigned
New 52,Smallville Season 11,DC Universe,Added,SER-01451,SER-01451,The New 52,Assigned
New 52,Arrow: Season 2.5,DC Universe,Added,SER-01452,SER-01452,The New 52,Assigned
New 52,The Flash: Season Zero,DC Universe,Added,SER-01453,SER-01453,The New 52,Assigned
New 52,Injustice: Gods Among Us,DC Universe,Already present,,SER-01068,The New 52,Assigned
New 52,Injustice: Gods Among Us – Year Two,DC Universe,Added,SER-01454,SER-01454,The New 52,Assigned
New 52,Injustice: Gods Among Us – Year Three,DC Universe,Added,SER-01455,SER-01455,The New 52,Assigned
New 52,Injustice: Gods Among Us – Year Four,DC Universe,Added,SER-01456,SER-01456,The New 52,Assigned
New 52,Injustice: Gods Among Us – Year Five,DC Universe,Added,SER-01457,SER-01457,The New 52,Assigned
New 52,Injustice: Ground Zero,DC Universe,Added,SER-01458,SER-01458,The New 52,Assigned
New 52,He-Man and the Masters of the Universe,Masters of the Universe,Already present,,SER-00478,The New 52,Assigned
New 52,He-Man: The Eternity War,Masters of the Universe,Added,SER-01459,SER-01459,The New 52,Assigned
New 52,DC Universe vs. Masters of the Universe,Masters of the Universe,Added,SER-01460,SER-01460,The New 52,Assigned
DC You,All-Star Section Eight,DC Universe,Added,SER-01461,SER-01461,DC You,Assigned
DC You,Bat-Mite,Batman,Added,SER-01462,SER-01462,DC You,Assigned
DC You,Bizarro,Superman,Added,SER-01463,SER-01463,DC You,Assigned
DC You,Black Canary,Black Canary,Already present,,SER-00103,DC You,Assigned
DC You,Constantine: The Hellblazer,John Constantine,Added,SER-01464,SER-01464,DC You,Assigned
DC You,Cyborg,Cyborg,Already present,,SER-00180,DC You,Assigned
DC You,Doomed,Superman,Added,SER-01465,SER-01465,DC You,Assigned
DC You,Doctor Fate,Doctor Fate,Already present,,SER-00218,DC You,Assigned
DC You,Earth 2: Society,Justice Society of America,Added,SER-01466,SER-01466,DC You,Assigned
DC You,Gotham Academy: Second Semester,Batman,Added,SER-01467,SER-01467,DC You,Assigned
DC You,Green Lantern Corps: Lost Army,Green Lantern,Added,SER-01468,SER-01468,DC You,Assigned
DC You,Green Lantern Corps: Edge of Oblivion,Green Lantern,Added,SER-01469,SER-01469,DC You,Assigned
DC You,Justice League 3001,Justice League,Already present,,SER-01052,DC You,Assigned
DC You,Martian Manhunter,Martian Manhunter,Already present,,SER-00468,DC You,Assigned
DC You,Midnighter,Midnighter & Apollo,Already present,,SER-00491,DC You,Assigned
DC You,The Omega Men,DC Universe,Added,SER-01470,SER-01470,DC You,Assigned
DC You,Poison Ivy: Cycle of Life and Death,Poison Ivy,Added,SER-01471,SER-01471,DC You,Assigned
DC You,Prez,Prez,Already present,,SER-00576,DC You,Assigned
DC You,Red Hood/Arsenal,Red Hood,Added,SER-01472,SER-01472,DC You,Assigned
DC You,Robin: Son of Batman,Robin / Teen Titans,Added,SER-01473,SER-01473,DC You,Assigned
DC You,Starfire,Starfire,Added,SER-01474,SER-01474,DC You,Assigned
DC You,Superman: Lois & Clark,Superman,Added,SER-01475,SER-01475,DC You,Assigned
DC You,Telos,DC Universe,Added,SER-01476,SER-01476,DC You,Assigned
DC You,Titans Hunt,Robin / Teen Titans,Added,SER-01477,SER-01477,DC You,Assigned
DC You,We Are Robin,Robin / Teen Titans,Added,SER-01478,SER-01478,DC You,Assigned
DC You,Bloodlines,DC Universe,Added,SER-01479,SER-01479,DC You,Assigned
DC You,Dark Knight III: The Master Race,Batman,Added,SER-01480,SER-01480,DC You,Assigned
DC You,Suicide Squad Most Wanted: Deadshot and Katana,DC Universe,Added,SER-01481,SER-01481,DC You,Assigned
DC You,Suicide Squad Most Wanted: El Diablo and Boomerang,DC Universe,Added,SER-01482,SER-01482,DC You,Assigned
DC You,Gotham Academy/Lumberjanes,Batman,Added,SER-01483,SER-01483,DC You,Assigned
DC You,Bombshells,DC Universe,Added,SER-01484,SER-01484,DC You,Assigned
DC You,DC Comics Bombshells,DC Universe,Added,SER-01485,SER-01485,DC You,Assigned
